dataset_dir,mcs_index,mcs_qm,mcs_code_rate_x1024,snr_index,snr_db,noise_sigma,num_codeblocks,llr_len,msg_bits,msg_bytes,base_graph,zc,n_rows,max_iterations,early_termination,effective_cb_code_rate,warmup_repeats,repeats,mean_us_per_cb,stddev_us_per_cb,min_us_per_cb,max_us_per_cb,ber,bler,bit_errors,total_bits,block_errors,total_blocks
ldpc_final_tesc/mcs_05/snr_00,5,2,379,0,0,1,1024,2360,880,110,1,40,39,5,0,0.372881355932,50,1000,18.5001161794,2.11178809433,17.1074779013,27.1953904473,0.257060102983,1,231642,901120,1024,1024
ldpc_final_tesc/mcs_05/snr_01,5,2,379,1,6,0.501187233627,1024,2360,880,110,1,40,39,5,0,0.372881355932,50,1000,18.4005947378,2.23011481866,16.8157395061,29.2272627544,0,0,0,901120,0,1024
ldpc_final_tesc/mcs_05/snr_02,5,2,379,2,12,0.251188643151,1024,2360,880,110,1,40,39,5,0,0.372881355932,50,1000,18.6811650541,2.24118419115,17.1561682823,29.8792318728,0,0,0,901120,0,1024
ldpc_final_tesc/mcs_05/snr_03,5,2,379,3,18,0.125892541179,1024,2360,880,110,1,40,39,5,0,0.372881355932,50,1000,18.5129918332,2.22763682862,16.9888459767,29.5404870306,0,0,0,901120,0,1024
ldpc_final_tesc/mcs_05/snr_04,5,2,379,4,24,0.063095734448,1024,2360,880,110,1,40,39,5,0,0.372881355932,50,1000,18.7453202126,2.22448291754,17.2480239195,28.7593859501,0,0,0,901120,0,1024
ldpc_final_tesc/mcs_05/snr_05,5,2,379,5,30,0.0316227766017,1024,2360,880,110,1,40,39,5,0,0.372881355932,50,1000,19.0765839974,2.35281818386,17.5374245431,32.6725253182,0,0,0,901120,0,1024
ldpc_final_tesc/mcs_09/snr_00,9,2,679,0,0,1,1024,2376,1584,198,1,72,13,5,0,0.666666666667,50,1000,12.6387139719,1.49714926867,11.6184323246,19.4215757844,0.262873485835,1,426385,1622016,1024,1024
ldpc_final_tesc/mcs_09/snr_01,9,2,679,1,6,0.501187233627,1024,2376,1584,198,1,72,13,5,0,0.666666666667,50,1000,12.9418768657,1.55269013886,11.8982225366,19.248556681,0.107114849669,1,173742,1622016,1024,1024
ldpc_final_tesc/mcs_09/snr_02,9,2,679,2,12,0.251188643151,1024,2376,1584,198,1,72,13,5,0,0.666666666667,50,1000,14.3692559585,1.86073581133,13.0385739949,25.3429330221,0.000169542100694,0.05078125,275,1622016,52,1024
ldpc_final_tesc/mcs_09/snr_03,9,2,679,3,18,0.125892541179,1024,2376,1584,198,1,72,13,5,0,0.666666666667,50,1000,12.8570425059,1.51472955287,11.6452953238,17.416883692,0,0,0,1622016,0,1024
ldpc_final_tesc/mcs_09/snr_04,9,2,679,4,24,0.063095734448,1024,2376,1584,198,1,72,13,5,0,0.666666666667,50,1000,13.45154925,1.59155660993,12.2883988588,19.2541299011,0,0,0,1622016,0,1024
ldpc_final_tesc/mcs_09/snr_05,9,2,679,5,30,0.0316227766017,1024,2376,1584,198,1,72,13,5,0,0.666666666667,50,1000,12.763538729,1.56672932962,11.6389531753,20.1221087842,0,0,0,1622016,0,1024
ldpc_final_tesc/mcs_11/snr_00,11,4,378,0,0,1,1024,4800,1760,220,1,80,40,5,0,0.366666666667,50,1000,25.6335771777,2.98384365711,23.3693553038,35.6670016918,0.384161376953,1,692351,1802240,1024,1024
ldpc_final_tesc/mcs_11/snr_01,11,4,378,1,6,0.501187233627,1024,4800,1760,220,1,80,40,5,0,0.366666666667,50,1000,28.1114593309,3.14424922773,25.615833963,43.8844217777,0.246155894886,1,443632,1802240,1024,1024
ldpc_final_tesc/mcs_11/snr_02,11,4,378,2,12,0.251188643151,1024,4800,1760,220,1,80,40,5,0,0.366666666667,50,1000,26.311443882,3.1394904076,23.9703418498,39.0507468778,0,0,0,1802240,0,1024
ldpc_final_tesc/mcs_11/snr_03,11,4,378,3,18,0.125892541179,1024,4800,1760,220,1,80,40,5,0,0.366666666667,50,1000,26.8272547998,2.92213103785,24.6417520015,37.7332170858,0,0,0,1802240,0,1024
ldpc_final_tesc/mcs_11/snr_04,11,4,378,4,24,0.063095734448,1024,4800,1760,220,1,80,40,5,0,0.366666666667,50,1000,25.3351652126,2.92914848382,23.2566864143,36.1413285074,0,0,0,1802240,0,1024
ldpc_final_tesc/mcs_11/snr_05,11,4,378,5,30,0.0316227766017,1024,4800,1760,220,1,80,40,5,0,0.366666666667,50,1000,25.3291723194,2.84814507913,23.2959831865,37.291685257,0,0,0,1802240,0,1024
ldpc_final_tesc/mcs_16/snr_00,16,4,658,0,0,1,1024,4352,2816,352,1,128,14,5,0,0.647058823529,50,1000,16.0775317914,1.87193527687,14.7923451867,24.2267537753,0.367928591642,1,1060953,2883584,1024,1024
ldpc_final_tesc/mcs_16/snr_01,16,4,658,1,6,0.501187233627,1024,4352,2816,352,1,128,14,5,0,0.647058823529,50,1000,16.2302921311,1.99848174662,14.8976344988,23.6220762341,0.238415804776,1,687492,2883584,1024,1024
ldpc_final_tesc/mcs_16/snr_02,16,4,658,2,12,0.251188643151,1024,4352,2816,352,1,128,14,5,0,0.647058823529,50,1000,16.0694830196,1.86841058528,14.776161839,29.1494319954,0.0355356389826,1,102470,2883584,1024,1024
ldpc_final_tesc/mcs_16/snr_03,16,4,658,3,18,0.125892541179,1024,4352,2816,352,1,128,14,5,0,0.647058823529,50,1000,23.327930389,2.51476642893,21.2682206035,34.0229627042,0,0,0,2883584,0,1024
ldpc_final_tesc/mcs_16/snr_04,16,4,658,4,24,0.063095734448,1024,4352,2816,352,1,128,14,5,0,0.647058823529,50,1000,16.2558968158,2.03199123252,14.8366707684,25.0158683208,0,0,0,2883584,0,1024
ldpc_final_tesc/mcs_16/snr_05,16,4,658,5,30,0.0316227766017,1024,4352,2816,352,1,128,14,5,0,0.647058823529,50,1000,16.7763411773,1.90459871435,15.3471785176,23.7219951829,0,0,0,2883584,0,1024
ldpc_final_tesc/mcs_17/snr_00,17,6,438,0,0,1,1024,6528,2816,352,1,128,31,5,0,0.43137254902,50,1000,26.9065412515,2.88338173705,24.7609919444,39.6293209555,0.414569507946,1,1195446,2883584,1024,1024
ldpc_final_tesc/mcs_17/snr_01,17,6,438,1,6,0.501187233627,1024,6528,2816,352,1,128,31,5,0,0.43137254902,50,1000,28.5473381853,3.19153611962,26.2864283943,43.6458189405,0.326182972301,1,940576,2883584,1024,1024
ldpc_final_tesc/mcs_17/snr_02,17,6,438,2,12,0.251188643151,1024,6528,2816,352,1,128,31,5,0,0.43137254902,50,1000,26.2083612288,2.91689775076,24.094732594,36.045518999,0.14252575961,1,410985,2883584,1024,1024
ldpc_final_tesc/mcs_17/snr_03,17,6,438,3,18,0.125892541179,1024,6528,2816,352,1,128,31,5,0,0.43137254902,50,1000,26.3683346742,2.97255480485,24.3431279152,39.8583990037,0,0,0,2883584,0,1024
ldpc_final_tesc/mcs_17/snr_04,17,6,438,4,24,0.063095734448,1024,6528,2816,352,1,128,31,5,0,0.43137254902,50,1000,27.1348113042,3.07264259301,24.9450520966,43.387852758,0,0,0,2883584,0,1024
ldpc_final_tesc/mcs_17/snr_05,17,6,438,5,30,0.0316227766017,1024,6528,2816,352,1,128,31,5,0,0.43137254902,50,1000,26.6452654007,3.00844633822,24.4657752529,39.8293787307,0,0,0,2883584,0,1024
ldpc_final_tesc/mcs_23/snr_00,23,6,719,0,0,1,1024,6944,4928,616,1,224,11,5,0,0.709677419355,50,1000,23.4058251034,2.56687488898,21.6815886671,33.7049527517,0.412358866109,1,2080875,5046272,1024,1024
ldpc_final_tesc/mcs_23/snr_01,23,6,719,1,6,0.501187233627,1024,6944,4928,616,1,224,11,5,0,0.709677419355,50,1000,23.4382951194,2.70024260265,21.5190437104,35.8290363126,0.322827822202,1,1629077,5046272,1024,1024
ldpc_final_tesc/mcs_23/snr_02,23,6,719,2,12,0.251188643151,1024,6944,4928,616,1,224,11,5,0,0.709677419355,50,1000,23.2285263947,2.52368603245,21.3918258954,37.7808251169,0.200536356344,1,1011961,5046272,1024,1024
